mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,boot,Exclusions,hdi_contains_zero
0.113,0.079,-0.041,0.272,0.002,0.001,2396.0,2237.0,2402.0,1800.0,1.0,79,Across Data,True
-0.064,0.067,-0.192,0.07,0.001,0.001,2421.0,1887.0,2419.0,1551.0,1.0,80,Across Data,True
0.123,0.062,0.01,0.25,0.001,0.001,2875.0,2685.0,2895.0,1659.0,1.0,81,Across Data,False
0.031,0.063,-0.092,0.155,0.001,0.001,2307.0,1328.0,2295.0,1567.0,1.0,82,Across Data,True
0.088,0.07,-0.043,0.227,0.001,0.001,2543.0,1884.0,2535.0,1632.0,1.0,83,Across Data,True
-0.153,0.072,-0.289,-0.011,0.001,0.001,2416.0,2129.0,2432.0,1773.0,1.0,84,Across Data,False
0.031,0.075,-0.112,0.181,0.002,0.001,2476.0,1318.0,2482.0,1606.0,1.0,85,Across Data,True
0.115,0.06,-0.006,0.237,0.001,0.001,3055.0,2507.0,3074.0,1590.0,1.0,86,Across Data,True
-0.024,0.07,-0.159,0.107,0.001,0.001,2805.0,1257.0,2787.0,1457.0,1.0,87,Across Data,True
0.009,0.07,-0.124,0.149,0.002,0.001,1892.0,1298.0,1897.0,1623.0,1.0,88,Across Data,True
-0.063,0.074,-0.21,0.073,0.002,0.001,1899.0,1588.0,1903.0,1271.0,1.0,89,Across Data,True
0.128,0.065,0.0,0.258,0.001,0.001,2233.0,2114.0,2242.0,1635.0,1.0,90,Across Data,True
-0.027,0.068,-0.168,0.101,0.001,0.001,2712.0,1395.0,2710.0,1821.0,1.0,91,Across Data,True
-0.115,0.074,-0.265,0.027,0.002,0.001,2242.0,1976.0,2243.0,1485.0,1.0,92,Across Data,True
0.104,0.063,-0.016,0.223,0.001,0.001,2443.0,1875.0,2445.0,1623.0,1.0,93,Across Data,True
0.017,0.069,-0.112,0.154,0.001,0.001,2786.0,1349.0,2787.0,1670.0,1.0,94,Across Data,True
0.153,0.066,0.031,0.285,0.001,0.001,2951.0,2635.0,2955.0,1743.0,1.0,95,Across Data,False
0.038,0.076,-0.107,0.185,0.001,0.001,2790.0,1767.0,2782.0,1855.0,1.0,96,Across Data,True
-0.003,0.065,-0.128,0.127,0.001,0.001,2623.0,1132.0,2614.0,1657.0,1.0,97,Across Data,True
0.126,0.068,-0.007,0.253,0.001,0.001,2527.0,2339.0,2522.0,1452.0,1.0,98,Across Data,True
0.031,0.059,-0.084,0.143,0.001,0.001,2490.0,1332.0,2474.0,1456.0,1.0,99,Across Data,True
-0.016,0.072,-0.161,0.123,0.001,0.001,2368.0,1200.0,2372.0,1723.0,1.0,100,Across Data,True
0.035,0.067,-0.098,0.166,0.001,0.001,2452.0,1596.0,2478.0,1431.0,1.0,101,Across Data,True
0.223,0.069,0.096,0.362,0.001,0.001,2185.0,2006.0,2169.0,1545.0,1.0,102,Across Data,False
0.008,0.068,-0.119,0.147,0.001,0.001,2224.0,1303.0,2221.0,1721.0,1.0,103,Across Data,True
0.1,0.069,-0.045,0.218,0.001,0.001,2948.0,2339.0,2961.0,1654.0,1.0,104,Across Data,True
-0.073,0.08,-0.224,0.089,0.002,0.001,2354.0,1823.0,2359.0,1537.0,1.0,105,Across Data,True
0.036,0.069,-0.094,0.171,0.001,0.001,2694.0,1623.0,2697.0,1706.0,1.0,106,Across Data,True
